Joints
100
,,nathaniel:Thigh_Shank,,,nathaniel:World_Thigh,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,mm,mm,mm
223,0,17.8091,2.76144,-38.0841,88.3437,-2.06402,-48.9906,-62.7712,653.507,185.186
224,0,17.6973,2.4765,-37.7082,88.6739,-1.85905,-49.0956,-62.237,652.183,183.814
225,0,17.5784,2.18431,-37.3373,89.0013,-1.60759,-49.1554,-61.9285,650.899,182.463
226,0,17.5002,1.95922,-37.0153,89.2994,-1.38654,-49.2654,-61.413,649.599,181.089
227,0,17.3875,1.71237,-36.6807,89.5677,-1.1735,-49.3717,-60.8814,648.297,179.775
228,0,17.2659,1.44437,-36.35,89.8316,-0.99362,-49.4279,-60.3628,647.086,178.603
229,0,17.1777,1.17269,-35.9777,90.1053,-0.790509,-49.4702,-59.9025,646.021,177.521
230,0,17.0812,0.876149,-35.5698,90.3606,-0.532361,-49.5328,-59.5525,645.07,176.548
231,0,16.9796,0.571389,-35.1594,90.5801,-0.334251,-49.5891,-59.1249,644.124,175.474
232,0,16.8474,0.214111,-34.6894,90.7946,-0.0615571,-49.6618,-58.8675,643.307,174.504
233,0,16.7344,-0.131468,-34.2216,91.0138,0.143362,-49.7121,-58.4371,642.505,173.544
234,0,16.6001,-0.508118,-33.7345,91.2346,0.294165,-49.7347,-57.8597,641.702,172.662
235,0,16.4846,-0.901778,-33.2329,91.4393,0.539432,-49.7654,-57.4289,641.019,171.883
236,0,16.3456,-1.30421,-32.7333,91.6223,0.771999,-49.8282,-56.9288,640.308,171.158
237,0,16.2565,-1.62398,-32.2949,91.7617,1.05544,-49.9626,-56.4571,639.551,170.418
238,0,16.1364,-1.9904,-31.8219,91.9224,1.30158,-50.066,-55.8757,638.773,169.668
239,0,16.0299,-2.35122,-31.3556,92.1034,1.55806,-50.1745,-55.2708,638.024,168.979
240,0,15.889,-2.72853,-30.9022,92.2524,1.85393,-50.2949,-54.8267,637.231,168.306
241,0,15.8025,-3.03513,-30.4945,92.4321,2.13269,-50.4402,-54.2359,636.406,167.657
242,0,15.6789,-3.38954,-30.0567,92.6464,2.39367,-50.5455,-53.6545,635.578,166.993
243,0,15.5892,-3.69111,-29.6089,92.9207,2.62572,-50.6401,-53.0025,634.76,166.294
244,0,15.467,-4.02794,-29.1629,93.1629,2.91528,-50.7527,-52.5247,633.974,165.548
245,0,15.3332,-4.34766,-28.7507,93.4042,3.08823,-50.8376,-51.8368,633.138,164.64
246,0,15.1924,-4.69326,-28.3305,93.6475,3.31164,-50.9267,-51.3251,632.386,163.791
247,0,15.1149,-4.9539,-27.9366,93.8998,3.55153,-51.0337,-50.8049,631.651,162.886
248,0,15.0009,-5.29039,-27.4947,94.1867,3.77686,-51.1101,-50.3074,630.96,161.997
249,0,14.8515,-5.69465,-27.0157,94.4954,3.98372,-51.1584,-49.8035,630.29,161.05
250,0,14.7911,-5.95579,-26.6557,94.7628,4.18989,-51.2095,-49.3706,629.584,159.992
251,0,14.6823,-6.32281,-26.2118,95.0888,4.38468,-51.2168,-48.9519,628.984,159
252,0,14.5258,-6.6918,-25.7679,95.3787,4.50037,-51.2373,-48.4804,628.28,157.776
